original_address,lat,lon,formatted,name,housenumber,street,suburb,postcode,district,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
"3554 West Chester Pike Unit 14, Newtown Square, PA 19073",39.98514329011258,-75.39356315518057,"3554 West Chester Pike, Newtown Township, PA 19073, United States of America",,3554,West Chester Pike,,19073,,Newtown Township,Delaware County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3650 Kirkwood Hwy, Wilmington, DE 19808",39.73412102375426,-75.63804339229429,"3650 Kirkwood Highway, Duncan Village, DE 19808, United States of America",,3650,Kirkwood Highway,,19808,,Duncan Village,New Castle County,Delaware,DE,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"375 Marketplace Blvd, Hamilton Township, NJ 08691",40.1995694,-74.6363139,"Marketplace Boulevard, Hamilton Township, NJ 08691, United States of America",Marketplace Boulevard,,Marketplace Boulevard,Hamilton Marketplace,08691,,Hamilton Township,Mercer County,New Jersey,NJ,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3900 City Ave, Philadelphia, PA 19131",40.008546383838386,-75.21064025252525,"3900 City Avenue, Philadelphia, PA 19131, United States of America",,3900,City Avenue,,19131,Pencoyd,Philadelphia,Philadelphia County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"42 Ridge Pike, Conshohocken, PA 19428",40.09312483733596,-75.28142133248699,"42 Ridge Pike, Whitemarsh Township, PA 19428, United States of America",,42,Ridge Pike,,19428,,Whitemarsh Township,Montgomery County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"48 N 12th St, Philadelphia, PA 19107",39.95322548,-75.15970788,"48 North 12th Street, Philadelphia, PA 19107, United States of America",,48,North 12th Street,Center City,19107,Chinatown,Philadelphia,Philadelphia County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"51 Town Center Dr Suite 2, Collegeville, PA 19426",40.166103,-75.478942,"51 Town Center Drive, Collegeville, PA 19426, United States of America",,51,Town Center Drive,,19426,Upper Providence Township,Collegeville,Montgomery County,Pennsylvania,PA,United States,us,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
"5619 Concord Pike, Wilmington, DE 19803",39.832133609637665,-75.5436479461381,"5619 Concord Pike, Concord Hills, DE 19803, United States of America",,5619,Concord Pike,,19803,,Concord Hills,New Castle County,Delaware,DE,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"601 S Trooper Rd, Audubon, PA 19403",40.12770118181818,-75.404822,"601 South Trooper Road, Lower Providence Township, PA 19403, United States of America",,601,South Trooper Road,,19403,,Lower Providence Township,Montgomery County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"73 Old Dublin Pike, Doylestown, PA 18901",40.3245539,-75.1316136,"73 Old Dublin Pike, Doylestown Township, PA 18901, United States of America",,73,Old Dublin Pike,,18901,,Doylestown Township,Bucks County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"900 Lion Rd, Ewing Township, NJ 08638",40.2708797,-74.7820476,"Lion road, Ewing Township, NJ 08628, United States of America",Lion road,,Lion road,,08628,,Ewing Township,Mercer County,New Jersey,NJ,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"9898 E Roosevelt Blvd #101, Philadelphia, PA 19115",40.094473,-75.017953,"9898 East Roosevelt Blv, Philadelphia, PA 19115-1705, United States of America",,9898,East Roosevelt Blv,Bustleton,19115-1705,Philadelphia,Philadelphia,Philadelphia County,Pennsylvania,PA,United States,us,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
