GEO_ID,NAME,P1_001N
1500000US421010012031,"Block Group 1, Census Tract 12.03, Philadelphia County, Pennsylvania",995
1500000US421010012032,"Block Group 2, Census Tract 12.03, Philadelphia County, Pennsylvania",832
1500000US421010012041,"Block Group 1, Census Tract 12.04, Philadelphia County, Pennsylvania",1808
1500000US421010012042,"Block Group 2, Census Tract 12.04, Philadelphia County, Pennsylvania",1237
1500000US421010012043,"Block Group 3, Census Tract 12.04, Philadelphia County, Pennsylvania",969
1500000US421010013011,"Block Group 1, Census Tract 13.01, Philadelphia County, Pennsylvania",877
1500000US421010013012,"Block Group 2, Census Tract 13.01, Philadelphia County, Pennsylvania",794
1500000US421010013021,"Block Group 1, Census Tract 13.02, Philadelphia County, Pennsylvania",810
1500000US421010013022,"Block Group 2, Census Tract 13.02, Philadelphia County, Pennsylvania",963
1500000US421010013023,"Block Group 3, Census Tract 13.02, Philadelphia County, Pennsylvania",882
1500000US421010013024,"Block Group 4, Census Tract 13.02, Philadelphia County, Pennsylvania",2447
1500000US421010014001,"Block Group 1, Census Tract 14, Philadelphia County, Pennsylvania",1672
1500000US421010014002,"Block Group 2, Census Tract 14, Philadelphia County, Pennsylvania",849
1500000US421010014003,"Block Group 3, Census Tract 14, Philadelphia County, Pennsylvania",2215
1500000US421010015001,"Block Group 1, Census Tract 15, Philadelphia County, Pennsylvania",1120
1500000US421010015002,"Block Group 2, Census Tract 15, Philadelphia County, Pennsylvania",2218
1500000US421010016001,"Block Group 1, Census Tract 16, Philadelphia County, Pennsylvania",1239
1500000US421010016002,"Block Group 2, Census Tract 16, Philadelphia County, Pennsylvania",1426
1500000US421010017001,"Block Group 1, Census Tract 17, Philadelphia County, Pennsylvania",1342
1500000US421010017002,"Block Group 2, Census Tract 17, Philadelphia County, Pennsylvania",1655
1500000US421010018001,"Block Group 1, Census Tract 18, Philadelphia County, Pennsylvania",2283
1500000US421010018002,"Block Group 2, Census Tract 18, Philadelphia County, Pennsylvania",1193
1500000US421010019001,"Block Group 1, Census Tract 19, Philadelphia County, Pennsylvania",1101
1500000US421010019002,"Block Group 2, Census Tract 19, Philadelphia County, Pennsylvania",1758
1500000US421010019003,"Block Group 3, Census Tract 19, Philadelphia County, Pennsylvania",1224
1500000US421010020001,"Block Group 1, Census Tract 20, Philadelphia County, Pennsylvania",1543
1500000US421010020002,"Block Group 2, Census Tract 20, Philadelphia County, Pennsylvania",994
1500000US421010021001,"Block Group 1, Census Tract 21, Philadelphia County, Pennsylvania",812
1500000US421010021002,"Block Group 2, Census Tract 21, Philadelphia County, Pennsylvania",1650
1500000US421010022001,"Block Group 1, Census Tract 22, Philadelphia County, Pennsylvania",848
1500000US421010022002,"Block Group 2, Census Tract 22, Philadelphia County, Pennsylvania",700
1500000US421010022003,"Block Group 3, Census Tract 22, Philadelphia County, Pennsylvania",1202
1500000US421010023001,"Block Group 1, Census Tract 23, Philadelphia County, Pennsylvania",1140
1500000US421010023002,"Block Group 2, Census Tract 23, Philadelphia County, Pennsylvania",1903
1500000US421010024001,"Block Group 1, Census Tract 24, Philadelphia County, Pennsylvania",811
1500000US421010024002,"Block Group 2, Census Tract 24, Philadelphia County, Pennsylvania",1441
1500000US421010024003,"Block Group 3, Census Tract 24, Philadelphia County, Pennsylvania",1449
1500000US421010024004,"Block Group 4, Census Tract 24, Philadelphia County, Pennsylvania",755
1500000US421010024005,"Block Group 5, Census Tract 24, Philadelphia County, Pennsylvania",1168
1500000US421010025001,"Block Group 1, Census Tract 25, Philadelphia County, Pennsylvania",1347
1500000US421010025002,"Block Group 2, Census Tract 25, Philadelphia County, Pennsylvania",934
1500000US421010025003,"Block Group 3, Census Tract 25, Philadelphia County, Pennsylvania",785
1500000US421010025004,"Block Group 4, Census Tract 25, Philadelphia County, Pennsylvania",1327
1500000US421010027011,"Block Group 1, Census Tract 27.01, Philadelphia County, Pennsylvania",2217
1500000US421010027012,"Block Group 2, Census Tract 27.01, Philadelphia County, Pennsylvania",1983
1500000US421010027021,"Block Group 1, Census Tract 27.02, Philadelphia County, Pennsylvania",2223
1500000US421010027022,"Block Group 2, Census Tract 27.02, Philadelphia County, Pennsylvania",2045
1500000US421010028011,"Block Group 1, Census Tract 28.01, Philadelphia County, Pennsylvania",2119
1500000US421010028012,"Block Group 2, Census Tract 28.01, Philadelphia County, Pennsylvania",2245
1500000US421010028021,"Block Group 1, Census Tract 28.02, Philadelphia County, Pennsylvania",1867
1500000US421010028022,"Block Group 2, Census Tract 28.02, Philadelphia County, Pennsylvania",1639
1500000US421010028023,"Block Group 3, Census Tract 28.02, Philadelphia County, Pennsylvania",1869
1500000US421010029001,"Block Group 1, Census Tract 29, Philadelphia County, Pennsylvania",1501
1500000US421010029002,"Block Group 2, Census Tract 29, Philadelphia County, Pennsylvania",829
1500000US421010029003,"Block Group 3, Census Tract 29, Philadelphia County, Pennsylvania",2021
1500000US421010030011,"Block Group 1, Census Tract 30.01, Philadelphia County, Pennsylvania",707
1500000US421010030012,"Block Group 2, Census Tract 30.01, Philadelphia County, Pennsylvania",794
